Rank,VendorName,TotalSalesDollars
1,DIAGEO NORTH AMERICA INC,67990099.42
2,MARTIGNETTI COMPANIES,39330359.36
3,PERNOD RICARD USA,32063196.189999998
4,JIM BEAM BRANDS COMPANY,31423020.46
5,BACARDI USA INC,24854817.14
6,CONSTELLATION BRANDS INC,24218745.65
7,E & J GALLO WINERY,18399899.46
8,BROWN-FORMAN CORP,18247230.65
9,ULTRA BEVERAGE COMPANY LLP,16456111.43
10,M S WALKER INC,14679529.55
