VendorName,PurchaseContributionPct
DIAGEO NORTH AMERICA INC,16.34078942415037
MARTIGNETTI COMPANIES,8.318312405193918
PERNOD RICARD USA,7.779809005353726
JIM BEAM BRANDS COMPANY,7.6634079167154106
BACARDI USA INC,5.686002881605113
CONSTELLATION BRANDS INC,4.982001332051875
BROWN-FORMAN CORP,4.318297317471957
E & J GALLO WINERY,3.9365344784015472
ULTRA BEVERAGE COMPANY LLP,3.630097876337193
M S WALKER INC,3.1791484530550447
Other Vendors,34.16559890966384
