Description,TotalSalesDollars,ProfitMargin,IsTargetBrand,LowSalesThreshold,HighMarginThreshold
(RI) 1,21519.09,18.060661487079603,False,560.146,64.9299097086893
.nparalleled Svgn Blanc,1094.63,29.978166138329854,False,560.146,64.9299097086893
10 Span Cab Svgn CC,2703.89,20.93761210700138,False,560.146,64.9299097086893
10 Span Chard CC,3325.56,27.806444628874534,False,560.146,64.9299097086893
10 Span Pnt Gris Monterey Cy,2082.22,32.22618167148524,False,560.146,64.9299097086893
10 Span Pnt Nr CC,2441.7400000000002,25.836084103958655,False,560.146,64.9299097086893
12 Days of Pearls Gift Set,309.69,97.67832348477509,True,560.146,64.9299097086893
13 Celsius Svgn Bl,34041.23,57.6699784349743,False,560.146,64.9299097086893
13th Colony Sthrn Corn Whsky,359.82,42.446223111555774,False,560.146,64.9299097086893
14 Hands Cab Svgn Wash,273570.44,38.22745980888871,False,560.146,64.9299097086893
14 Hands Chard Wash,58250.47,38.44744943688866,False,560.146,64.9299097086893
14 Hands Hot to Trot Red,168780.04,34.82224556884807,False,560.146,64.9299097086893
14 Hands Hot to Trot White,16198.86,40.02664385024625,False,560.146,64.9299097086893
14 Hands Merlot Wash,148235.97,42.287691712072316,False,560.146,64.9299097086893
14 Hands Moscato,798.15,28.512184426486243,False,560.146,64.9299097086893
14 Hands Pinot Grigio,40353.49,37.10578688485183,False,560.146,64.9299097086893
14 Hands Red Blend Ltd,9570.42,45.94594594594595,False,560.146,64.9299097086893
14 Hands Red Blend Stampede,25884.53,27.870044385584748,False,560.146,64.9299097086893
14 Hands Rsl Wash,531.48,22.781666290359006,False,560.146,64.9299097086893
14 Hands Svgn Bl,16640.6,38.90003966203142,False,560.146,64.9299097086893
1792 Full Proof Bourbon,3576.21,24.50862784903571,False,560.146,64.9299097086893
1792 Port Finish Bourbon,6998.25,23.080770192548137,False,560.146,64.9299097086893
1792 Single Barrel Bourbon,2445.3900000000003,21.448521503727438,False,560.146,64.9299097086893
1792 Sweet Wheat Bourbon,3170.11,21.418815119980064,False,560.146,64.9299097086893
1800 Anejo Tequila,30316.780000000002,35.02608126588642,False,560.146,64.9299097086893
1800 Coconut Tequila,199138.59,33.445626987717446,False,560.146,64.9299097086893
1800 Reposado Gold Tequila,511933.9,26.56187626502405,False,560.146,64.9299097086893
1800 Select Silver Tequila,2129.29,89.44577770054806,False,560.146,64.9299097086893
1800 Silver Tequila,701881.81,33.72690854199998,False,560.146,64.9299097086893
1800 Silver w/ Shot Glasses,31476.899999999998,29.307015620979193,False,560.146,64.9299097086893
1800 Ultimate Margarita RTD,149258.31999999998,31.938179392612735,False,560.146,64.9299097086893
1800 Ultimate Peach Margrita,46049.719999999994,33.595948031822985,False,560.146,64.9299097086893
19 Crimes Cab Svgn,63682.42,33.90014072957654,False,560.146,64.9299097086893
19 Crimes Red,195851.1,23.339725944863208,False,560.146,64.9299097086893
19 Crimes Warden Red,2823.87,23.088173322426318,False,560.146,64.9299097086893
2 Copas Spain White,119.88,33.33333333333333,False,560.146,64.9299097086893
2 Gingers Irish Whiskey,321.85999999999996,40.88734232274901,False,560.146,64.9299097086893
20 Mile 09 Brdx Superior,1949.48,83.76900506801813,False,560.146,64.9299097086893
24 Knots Pnt Nr,9393.619999999999,47.989699391714794,False,560.146,64.9299097086893
3 Ball Znfdl,14312.4,25.28129454179593,False,560.146,64.9299097086893
3 Blind Moose Cab Svgn Cal,6344.47,55.080250990232436,False,560.146,64.9299097086893
3 Blind Moose Chard Cal,6058.73,50.892678828731434,False,560.146,64.9299097086893
3 Blind Moose Merlot Cal,6951.85,56.1424656746046,False,560.146,64.9299097086893
3 Blind Moose Pnt Grigio Cal,7285.51,56.373678712952156,False,560.146,64.9299097086893
3 Brooms Svgn Bl Marlborough,25206.93,32.92796861815382,False,560.146,64.9299097086893
4 Orange Vodka,483.78,85.90268303774444,True,560.146,64.9299097086893
